Roma,Roma
Rhegium,Reggio
Venezia,Venezia
Mediolanum,Milano
Pantikapaion,Vosporo
Khersonesos,Caffa
Messana,Messina
Cluj,Clausemburgo
Ra-Kedet,Alexandria
Taucheira,Tocra
Abdju,Sohag
Wyksm,Algeri
Marseille,Marsiglia
Praisos,Ierapetra
Knossos,Candia
Euesperides,Bengasi
Oyat,Tripoli
Waset,Luxor
Split,Spalato
Yglgl,Bugia
Menefer,Il Cairo
Neapolis,Napoli
Qart-Hadasht,Tunisi
Pella,Salonicco
Athenai,Atene
Wien,Vienna
Byzantium,Costantinopoli
Florentia,Firenze
Dubrovnik,Ragusa
Merrakec,Marrakech
Dimashq,Damasco
Kandarpapura,Hué
Prey Nokor,Saigon
Kauthara,Nha Trang
Ras,Belgrado
